title,imdbid,imdbscore,imdbvotes,releaseyear
Elite Short Stories Samuel Omar,tt16259804,6.1,620,2021
Call My Agent Bollywood,tt13282662,7.4,6162,2021
Elite Short Stories Omar Ander Alexis,tt14676004,7.3,1903,2021
Young Famous and African,tt15302054,4.6,354,2022
Elite Short Stories Carla Samuel,tt14675560,6.9,2609,2021
Kid Cosmic,tt9248538,7.9,1354,2021
Framed A Sicilian Murder Mystery,tt16745502,6.8,900,2022
AlRawabi School for Girls,tt10183912,7.4,5708,2021
Until Life Do Us Part,tt13053042,7.4,631,2021
50M2,tt11617848,6.9,5516,2021
Savage Rhythm,tt17076336,6.3,28,2022
Coming Out Colton,tt14527650,6.7,1087,2021
I Am Georgina,tt15494864,3.9,2729,2022
Angry Birds Summer Madness,tt12027896,6.3,436,2022
The Lost Pirate Kingdom,tt14057360,6.6,2702,2021
Sky Rojo,tt8690776,6.5,8569,2021
Johnny Hallyday Beyond Rock,tt18274456,7,94,2022
You Are My Spring,tt14169816,7.5,532,2021
Russell Howard Lubricant,tt16146342,7,791,2021
Chicago Party Aunt,tt15125616,5.3,1383,2021
Money Heist From Tokyo to Berlin,tt15384346,7.7,836,2021
Queer Eye Germany,tt16369694,7.5,788,2022
Love Never Lies,tt14540924,5.6,228,2021
Naomi Osaka,tt11898920,6.2,1287,2021
Sexify,tt14315542,6.5,4907,2021
Motel Makeover,tt15128558,4.8,688,2021
JAPAN SINKS People of Hope,tt15569106,6.7,404,2021
Invisible City,tt8878862,7.7,18,2021
The Time It Takes,tt13322938,7.1,1183,2021
Too Hot to Handle Brazil,tt14902484,5.4,443,2021
That Girl Lay Lay,tt14442054,3.4,232,2021
Alessandro Cattelan One Simple Question,tt15326678,6.5,157,2022
Sexy Beasts,tt14916746,4.6,1105,2021
Worn Stories,tt14177168,6.6,311,2021
WWII in Color Road to Victory,tt16477402,8.2,1362,2021
Everything Will Be Fine,tt15101964,6.2,335,2021
Fishbowl Wives,tt15410190,6.1,704,2022
Soil,tt14319674,7.2,478,2021
Why Are You Like This,tt8540808,6.5,1480,2021
Eternally Confused and Eager for Love,tt18274188,6.7,1302,2022
Blown Away Christmas,tt15665668,6.7,466,2021
The Motive,tt15529566,5.3,1383,2021
Love Life and Everything in Between,tt18253682,5.3,65,2022
Where Is Marta,tt15796898,6.8,1150,2021
Daughter from Another Mother,tt11937732,7.2,1766,2021
John of God The Crimes of a Spiritual Healer,tt15233856,6.5,777,2021
Insiders,tt15436028,4.2,609,2021
Too Hot to Handle Latino,tt15251764,5.2,260,2021
Pedal to Metal,tt15016440,7.5,51,2022
Midnight Asia Eat a Dance a Dream,tt16583602,6.6,474,2022
Dad Stop Embarrassing Me,tt13018090,4.1,1853,2021
Mine,tt14023192,7.8,1101,2021
Mad for Each Other,tt14596414,7.9,1518,2021
Cat People,tt14818454,6.3,266,2021
Law School,tt13885336,8.1,2024,2021
Love Is Blind Brazil,tt15018224,6.1,425,2021
Tattoo Redo,tt14956090,5.8,680,2021
Bake Squad,tt15078760,6.9,651,2021
Country Comfort,tt11717394,6.9,3301,2021
Secrets of Summer,tt12379170,5.9,110,2022
Adventure Beast,tt15478708,5.2,496,2021
Transformers BotBots,tt14202476,6.8,68,2022
Zero,tt10619486,5.6,1270,2021
Headspace Guide to Sleep,tt14318406,6.8,445,2021
Dealer,tt13702252,6.1,659,2021
A Tale Dark and Grimm,tt2386826,7.3,1193,2021
Ray,tt14160660,7.2,8668,2021
Your Life is a Joke,tt15663868,5.5,83,2021
Navillera,tt13885302,8.8,2024,2021
Coyotes,tt13847924,5.1,293,2021
Hype House,tt15257704,2.3,2860,2022
Hello Me,tt13670090,7.3,538,2021
Ridley Jones,tt13351440,4.7,223,2021
Myth and Mogul John DeLorean,tt14968268,6.8,1009,2021
Cooking With Paris,tt15036422,5.2,1055,2021
Dogs in Space,tt14906826,7.2,560,2021
Human The World Within,tt14574154,6.8,697,2021
Taarak Mehta Kka Chhota Chashmah,tt14438518,6.8,74,2021
Vendetta Truth Lies and The Mafia,tt14216574,6.7,232,2021
Ada Twist Scientist,tt13241650,6.4,131,2021
Crime Stories India Detectives,tt14178956,7.2,934,2021
The Worlds Most Amazing Vacation Rentals,tt14691382,6.7,1278,2021
The Hungry and the Hairy,tt16088530,7.5,218,2021
Somos,tt14719590,7.1,1108,2021
Racket Boys,tt14482414,1.8,27484,2021
Decoupled,tt14167338,8,6379,2021
Rebelde,tt14153686,6.2,2122,2022
Karmas World,tt13321232,6.2,134,2021
Fresh Fried and Crispy,tt14644428,6.2,603,2021
Remember You,tt15344082,7.4,65,2021
The Fastest,tt15779034,5.7,76,2021
Scaredy Cats,tt15387774,6.2,338,2021
We the People,tt14770480,3.4,674,2021
My Love Six Stories of True Love,tt14267526,7.5,281,2021
The War Nextdoor,tt14821886,5.6,373,2021
Marriage or Mortgage,tt14037542,5.1,433,2021
The Future Diary,tt15567380,7.9,97,2021
Race Bubba Wallace,tt14513646,5.9,402,2022
The Wedding Coach,tt14210424,4.9,85,2021
Haunted Latin America,tt14164238,5.3,572,2021
Pet Stars,tt14318392,4.9,117,2021
MaveriX,tt15373864,8.4,31,2022
The Rational Life,tt14376958,8.1,445,2021
Elize Matsunaga Once Upon a Crime,tt14856998,5.9,2088,2021
Nevenka Breaking The Silence,tt14091172,6.9,658,2021
Hei$t The Great Robbery of Brazils Central Bank,tt18274172,6.3,193,2022
The New Adventures of Oggy,tt11194006,6.6,38,2021
Alma Matters Inside the IIT Dream,tt14512938,8.3,2323,2021
Jiva,tt12564616,5.5,263,2021
I Heart Arlo,tt13573450,7,204,2021
Canine Intervention,tt13932598,6.5,886,2021
Reasonable Doubt A Tale of Two Kidnappings,tt15796900,7.6,179,2021
Under Suspicion Uncovering the Wesphael Case,tt14078186,6.3,727,2021
Titletown High,tt15192032,5.4,318,2021
Magic for Humans Spain,tt14136320,6,77,2021
Lets Fight Ghost,tt14168868,7.5,98,2021
The Snitch Cartel Origins,tt14417802,5.6,182,2021
How to Be A Cowboy,tt13438900,6.8,145,2021
Stories of a Generation  with Pope Francis,tt13784364,7.4,202,2021
The Family That Sings Together The Camargos,tt16247236,5.4,41,2021
Bangkok Breaking,tt14202282,5.9,281,2021
Kayko and Kokosh,tt13979288,6.3,314,2021
The Ingenuity of the Househusband,tt15170710,6.7,396,2021
Juanpis Gonza�lez  The Series,tt14494894,6.8,339,2022
Lets Eat,tt15978704,8.2,5,2021
Jailbirds New Orleans,tt15320436,6.6,205,2021
Bombay Begums,tt10238792,5.3,4841,2021
Team Zenko Go,tt18274176,7.2,21,2022
The Big Shot Game Show,tt17052496,6.2,24,2022
We Are The Brooklyn Saints,tt13656220,6.5,156,2021
Word Party Presents Math,tt16290860,7.5,13,2021
Creators File GOLD,tt14611486,6.6,23,2021
Summer Heat,tt14655298,5.5,265,2022
Newtons Cradle,tt11703922,8,1565,2021
Navarasa,tt13357946,5.9,3470,2021
I Need Romance,tt16077338,7.8,24,2021
The Five Juanas,tt15377930,6.9,1728,2021
Abla Fahita Drama Queen,tt11570224,6.6,433,2021
Lava Ka Dhaava,tt14492912,6,41,2021
Christmas Flow,tt15340790,5.8,702,2021
Korean Cold Noodle Rhapsody,tt15772846,7.3,15,2021
Pitta Kathalu,tt13879000,5.1,727,2021
The Big Day,tt13887518,4.6,327,2021
