title,imdbid,imdbscore,imdbvotes,releaseyear
Grace and Frankie,tt3609352,8.2,48435,2015
The Good Place,tt4955642,8.2,148562,2016
Ash vs Evil Dead,tt4189022,8.4,70087,2015
OnePunch Man,tt4508902,8.7,148386,2015
Chicago Med,tt4655480,7.6,24142,2015
Queen of the South,tt1064899,7.9,28537,2016
The Crown,tt4786824,8.7,190878,2016
Call My Agent,tt4277922,8.3,13331,2015
Servant of the People,tt6235122,7.3,2706,2015
Documentary Now,tt4677934,8.1,6445,2015
Forged in Fire,tt4680444,8.3,3538,2015
Van Helsing,tt5197820,6.1,21852,2016
Food Wars Shokugeki no Soma,tt0417325,8.2,9651,2015
Lucifer,tt4052886,8.1,308291,2016
DCs Legends of Tomorrow,tt4532368,6.8,101178,2016
The Magicians,tt4254242,7.6,49557,2015
The OA,tt4635282,7.9,100911,2016
Kims Convenience,tt5912064,8.3,16970,2016
Sense8,tt2431438,8.2,151518,2015
Crashing,tt5295524,7.7,18546,2016
Norsemen,tt5905354,7.7,18040,2016
Bloodline,tt0219432,7.9,50028,2015
Slasher,tt13976072,6.7,14071,2016
Travelers,tt5651844,8,54566,2016
Narcos,tt2707408,8.8,404486,2015
Miraculous Tales of Ladybug and Cat Noir,tt2580046,7.7,10102,2015
Designated Survivor,tt5296406,7.5,88019,2016
Leah Remini Scientology and the Aftermath,tt6244192,9,5761,2016
Into the Badlands,tt3865236,7.9,45628,2015
iZombie,tt3501584,7.8,66488,2015
Wynonna Earp,tt4878326,7.3,22256,2016
Dark Matter,tt3116070,7.5,41867,2015
Scream The TV Series,tt3921180,7.1,40082,2015
Versailles,tt3830558,7.9,16273,2015
60 Days In,tt10112398,7.6,2616,2016
Supergirl,tt4016454,6.2,121939,2015
Crazy ExGirlfriend,tt4094300,7.8,19738,2015
Medici Masters of Florence,tt5057130,7.9,18575,2016
PJ Masks,tt4148744,5.4,1214,2015
Marcella,tt5269594,7.4,30373,2016
Bordertown,tt4937942,7.6,10371,2016
Fauda,tt4565380,8.3,25239,2015
El marginal,tt5820976,8.2,3799,2016
Frontier,tt4686698,7.1,20706,2016
The Cuba Libre Story,tt5319838,7.6,1583,2015
ERASED,tt5249462,8.5,42699,2016
Flowers,tt5619658,8.1,5468,2016
Love,tt4061080,7.7,41362,2016
Good Witch,tt3906732,7.2,10392,2015
The Ranch,tt4998212,7.4,37890,2016
Paranoid,tt5839454,6.7,8343,2016
Wet Hot American Summer First Day of Camp,tt4341672,7.4,23674,2015
Shooter,tt4181172,7.5,35547,2016
Hap and Leonard,tt3729898,7.6,7577,2016
Glitch,tt4192782,7.3,17240,2015
Occupied,tt4192998,7.7,8839,2015
Master of None,tt4635276,8.3,72341,2015
Unbreakable Kimmy Schmidt,tt3339966,7.6,70242,2015
Secret City,tt4976512,7.4,7831,2016
Fuller House,tt3986586,6.7,27148,2016
Easy,tt5562056,6.9,13569,2016
Making a Murderer,tt5189670,8.6,93456,2015
BUNKD,tt4591680,5.3,3174,2015
Quantico,tt4428122,6.6,60305,2015
F is for Family,tt4326894,8,36050,2015
Locked Up,tt4524056,8.2,21388,2015
Zoo,tt3250026,6.6,24479,2015
Ajin,tt5537534,7.6,6121,2016
Frequency,tt5531470,7.5,13625,2016
Wanted,tt5193358,7.6,5693,2016
Aquarius,tt4744218,7.1,12112,2015
Roman Empire,tt6233538,7,7539,2016
Degrassi Next Class,tt10947610,6.8,3205,2016
The Disastrous Life of Saiki K,tt6354518,8.4,6649,2016
Mobile Suit Gundam IronBlooded Orphans,tt5344382,7.9,1623,2015
Chefs Table,tt4295140,8.5,15176,2015
Trollhunters Tales of Arcadia,tt1734135,8.4,16509,2016
March Comes in Like a Lion,tt6074794,8.4,2586,2016
God Eater,tt5240222,7,1911,2015
Gilmore Girls A Year in the Life,tt5435008,7.6,36359,2016
Rebellion,tt4699982,7.1,3658,2016
The Windsors,tt5692740,7.1,2648,2016
Hip Hop Evolution,tt6319696,8.4,5772,2016
The Get Down,tt4592410,8.2,22304,2016
Dragons Race to the Edge,tt4816058,8.2,6161,2015
Flaked,tt4973548,7.2,11264,2016
A Very Secret Service,tt4367560,7.7,3461,2015
Voltron Legendary Defender,tt5580664,8.1,8706,2016
Transformers Robots In Disguise,tt3604232,6,1048,2015
Crazyhead,tt6038584,7.2,4985,2016
Lady Dynamite,tt4789300,7.3,3655,2016
No Tomorrow,tt1527428,7.3,5101,2016
Greenleaf,tt4971144,7.3,5158,2016
Grizzy and the Lemmings,tt6717058,7.1,579,2016
Zumbos Just Desserts,tt7239256,6.9,2125,2016
The Letdown,tt7320300,7.5,3253,2016
Case,tt7875988,7,2688,2015
Sinatra All or Nothing at All,tt3838978,8,2354,2015
The Adventures of Puss in Boots,tt3807034,6.6,1696,2015
Last Chance U,tt5863126,8.4,6789,2016
Molang,tt6046238,8.4,346,2015
Signal,tt5332206,8.6,6338,2016
Between,tt4531748,6,9059,2015
Midnight Diner Tokyo Stories,tt6150576,8.4,4109,2016
Reply 1988,tt5182866,9.2,6557,2015
Sunny Bunnies,tt7264084,6.6,95,2015
Cinderella and Four Knights,tt5764414,7.5,3663,2016
Simon,tt7699866,7,127,2016
Conspiracy,tt4761054,6.2,367,2015
The Sound of Your Heart,tt4613520,8.2,1075,2016
Spotless,tt10800582,7.7,3635,2015
Club de Cuervos,tt4680240,8.2,5514,2015
Little Things,tt6522580,8.2,6461,2016
Care Bears and Cousins,tt4680360,6.8,82,2015
Kuromukuro,tt5895314,7.2,1265,2016
Marseille,tt4003966,6.9,5083,2016
Puffin Rock,tt3590338,8.7,891,2015
Chefs Table France,tt6088326,8.2,1723,2016
The Method,tt5135336,7.4,2784,2015
Skylanders Academy,tt5916218,6.7,730,2016
Cant Cope Wont Cope,tt5674872,7.3,880,2016
Lego Bionicle The Journey to One,tt5075942,5.5,170,2016
The Mr Peabody and Sherman Show,tt5021206,5.7,433,2015
Inspector Gadget,tt3910690,4.5,614,2015
Heidi,tt4346362,7.2,234,2015
Danger Mouse,tt4196822,7.2,579,2015
Haters Back Off,tt5467814,6.1,7183,2016
Intersection,tt5303668,6.7,1152,2016
Terrace House Boys and Girls in the City,tt4790546,8.1,1624,2015
The K2,tt8535796,7.9,5615,2016
Dinotrux,tt1396212,6.8,458,2015
Hello My Twenties,tt5858892,8.3,2127,2016
Dawn of the Croods,tt5193172,5.8,712,2015
Kong King of the Apes,tt5462936,5.9,325,2016
Bella and the Bulldogs,tt3596178,5,2114,2015
Unnatural Selection,tt11063952,8.1,12,2015
Cooked,tt5347906,7.6,43,2016
Mossad 101,tt4354042,6.8,632,2015
Secrets of Great British Castles,tt5181284,7.8,1031,2015
Netflix Presents The Characters,tt5228026,5.3,835,2016
El Chema,tt5730624,6.9,303,2016
Tokyo Trial,tt6422918,7.4,1544,2016
Love O2O,tt6092878,8,2322,2016
Good Morning Call,tt5520732,7.7,3088,2016
Inside the Worlds Toughest Prisons,tt8594220,7.1,2747,2016
Beat Bugs,tt4716268,7.6,522,2016
Captive,tt6246500,6.8,724,2016
Another Miss Oh,tt5679572,7.9,1769,2016
Tagged,tt5881326,7.3,2012,2016
The Deep,tt4991910,8.1,645,2015
La Nina,tt5677942,8.3,642,2016
Ask the Storybots,tt5846856,8.4,870,2016
La esclava blanca,tt5458128,8.1,575,2016
World of Winx,tt5874596,6.6,715,2016
Pororo the Little Penguin,tt13527330,6.3,88,2016
72 Cutest Animals,tt5815824,5.7,433,2016
Richie Rich,tt4162898,3.1,1041,2015
LEGO Friends The Power of Friendship,tt6464612,6.5,49,2016
The Good Cop,tt6070434,7.7,370,2015
Tales by Light,tt5350276,8.3,1905,2015
One More Time,tt6212990,6.9,564,2016
My Runway,tt6968336,6.3,261,2016
Dear My Friends,tt5689030,8.2,355,2016
Toon,tt5698140,7.6,890,2016
White Nights,tt6168004,6.9,287,2016
The Paper,tt0341957,7.4,64,2016
H20 Mermaid Adventures,tt4610750,5.7,182,2015
Terrace House Aloha State,tt6588218,7.5,979,2016
Stories by Rabindranath Tagore,tt4853764,8.8,1295,2015
The Haunted House,tt9518312,8.4,71,2016
Cheer Squad,tt5993744,7.2,166,2016
72 Dangerous Places to Live,tt5674272,6.2,344,2016
Paquita Salas,tt5866074,8,3087,2016
Nightmare Teacher,tt6209442,7.1,423,2016
Old Money,tt3701442,7.3,493,2015
Rainbow Ruby,tt5828144,6.5,77,2016
Fearless,tt9556710,7.1,299,2016
Atelier,tt2303188,6.3,7,2015
The Truth Seekers,tt7131694,7.1,16,2016
Chelsea,tt5672036,6.1,2051,2016
Home Adventures with Tip and Oh,tt5759196,5.9,603,2016
White Rabbit Project,tt6048644,6.9,1665,2016
Witch Hunt A Century of Murder,tt6474054,7.2,319,2015
The Princess Weiyoung,tt6353308,7.9,767,2016
Mind Game,tt8879588,7.5,12,2015
Chelsea Does,tt5275894,7.3,2471,2016
Real Rob,tt3741346,6.4,2801,2015
StoryBots Super Songs,tt6163070,8.8,167,2016
Miss in Kiss,tt6954524,7.7,98,2016
Coach Snoop,tt5697642,6.8,583,2016
Word Party,tt5235950,5.7,349,2016
Trailer Park Boys Out of the Park Europe,tt5937754,7,2285,2016
My Sunshine,tt6131630,6.6,185,2015
A Touch of Green,tt5231950,8.4,314,2015
Kulipari An Army of Frogs,tt6040768,6.9,254,2016
28 Faces of the Moon,tt10145322,6.4,25,2016
The Creative Indians,tt9583184,8.3,45,2016
Kazoops,tt6312916,7.5,122,2016
Bottersnikes and Gumbles,tt6015820,5.1,47,2016
Fangbone,tt4358188,6.2,312,2016
Chasing Cameron,tt6370626,3.8,501,2016
Spark,tt6409112,7,57,2016
Under the Black Moonlight,tt7162436,5,56,2016
Hibana Spark,tt5301958,7.9,798,2016
Close Your Eyes Before Its Dark,tt6506806,7,218,2016
Best Lover,tt9874364,6.8,74,2016
Luna Petunia,tt4588068,6.2,58,2016
The Miracle,tt6703344,6.3,210,2016
The Dream Job,tt7131688,6.1,14,2016
Vanished 46,tt5606154,8.4,4269,2016
Magic Cellphone,tt7162434,4.1,21,2016
Diamond Lover,tt6058496,6.4,138,2015
Sons of the Caliphate,tt10202268,7.4,32,2015
Fartsa,tt4567218,6.7,195,2015
Singles Villa,tt5053036,7.7,28,2015
Tariqi My Way,tt5528490,7.2,143,2015
The Governor,tt7128052,7.4,100,2016
Back to 1989,tt6273088,8,106,2016
Popples,tt4210022,6,57,2015
My Little Baby,tt5546516,6.9,103,2016
Love Storm,tt6093070,5.5,325,2016
Ozark,tt5071412,8.5,278223,2017
Derry Girls,tt7120662,8.4,28718,2018
The Sinner,tt6048596,7.9,117055,2017
Dark,tt5753856,8.7,354443,2017
Riverdale,tt5420376,6.7,139154,2017
Legacies,tt8103070,7.3,28877,2018
Mindhunter,tt5290382,8.6,261429,2017
All American,tt7414406,7.6,9704,2018
Manifest,tt8421350,7.1,50145,2018
Elite,tt7134908,7.4,73062,2018
Cobra Kai,tt7221388,8.6,163858,2018
You,tt7335184,7.7,225949,2018
Lost in Space,tt5232792,7.3,96868,2018
Money Heist,tt6468322,8.3,450797,2017
Good Girls,tt6474378,7.7,49867,2018
Bodyguard,tt7493974,8.1,114446,2018
Godless,tt5516154,7.6,27,2017
Altered Carbon,tt2261227,7.9,162018,2018
Maniac,tt5580146,7.7,74877,2018
Dirty John,tt15438396,7.3,20817,2018
Babylon Berlin,tt4378376,8.4,23256,2017
Charmed,tt6394324,4.5,16091,2018
The Haunting of Hill House,tt6763664,8.6,226817,2018
HAPPY,tt2452242,8.1,37747,2017
Workin Moms,tt6143796,7.8,14892,2017
Wild Wild Country,tt7768848,8.1,29298,2018
Somebody Feed Phil,tt7752034,8.2,4420,2018
Big Mouth,tt6524350,7.9,74660,2017
Dynasty,tt6128300,7.2,21136,2017
Imposters,tt5212822,7.8,13238,2017
Anne with an E,tt5421602,8.7,51001,2017
Manhunt,tt5618256,8.1,57459,2017
Santa Clarita Diet,tt5580540,7.9,64467,2017
The Bureau of Magical Things,tt7153034,6.7,1914,2018
One Day at a Time,tt5339440,8.2,15669,2017
The End of the Fucking World,tt6257970,8.1,177868,2017
Safe,tt7902072,7.2,41822,2018
GLOW,tt0784878,8,44751,2017
Trolls The Beat Goes On,tt7539608,5.8,798,2018
Collateral,tt6729080,6.7,17304,2018
Castlevania,tt6517102,8.3,61114,2017
The Kominsky Method,tt7255502,8.2,38232,2018
Knightfall,tt4555364,6.7,19809,2017
Atypical,tt6315640,8.3,81643,2017
Alias Grace,tt1034007,7.7,31577,2017
Deadwind,tt6616260,7.3,8762,2018
A Series of Unfortunate Events,tt4834206,7.8,59239,2017
American Vandal,tt6877772,8.1,29972,2017
Watership Down,tt5670764,7.2,6043,2018
Mystery Science Theater 3000,tt6782014,8.2,3605,2017
Chilling Adventures of Sabrina,tt7569592,7.4,90327,2018
Violet Evergarden,tt7078180,8.4,19940,2018
Narcos Mexico,tt8714904,8.4,80902,2018
Disenchantment,tt5363918,7.2,58639,2018
BAKI,tt6357658,6.7,5706,2018
Wet Hot American Summer Ten Years Later,tt5669272,6.9,8502,2017
Seven Seconds,tt6297682,7.7,15323,2018
Devilman Crybaby,tt6660498,7.6,18575,2018
Oats Studios,tt16351432,6.4,870,2017
Two Sentence Horror Stories,tt6873926,5.5,1841,2017
Black Spot,tt6519410,7.4,10705,2017
Rust Valley Restorers,tt9498102,7.8,2732,2018
Everything Sucks,tt7078710,7.5,18023,2018
Bad Blood,tt6423364,7.5,9593,2017
Five Came Back,tt6587094,8.3,4600,2017
Queer Eye,tt7259746,8.5,18147,2018
James Acaster Repertoire,tt7818686,8.4,3545,2018
The Keepers,tt6792200,7.6,14,2017
13 Reasons Why,tt1837492,7.5,282373,2017
Pine Gap,tt7371868,7.2,4772,2018
Nightflyers,tt6903284,5.8,13103,2018
Black Lightning,tt6045840,6.1,24646,2018
Troy Fall of a City,tt5103758,3.9,13677,2018
The Dragon Prince,tt8688814,8.4,21635,2018
Dear White People,tt5707802,6.1,24863,2017
